CO,NO2,OZONE,PM10,PM25_FRMFEM,SO2,Cluster
NA,10.5510638298,0.022737,25.435,NA,0.246564885496,0.0
NA,13.289893617,0.025374,NA,19.359,1.30190839695,2.0
NA,10.2781914894,0.020714,26.63,NA,0.767938931298,0.0
NA,10.5072695035,0.0264755,22.453,NA,2.47099236641,2.0
NA,8.0920212766,0.025846,25.747,NA,0.170229007634,0.0
NA,19.974822695,0.0270725,30.4765,16.5,NA,0.0
NA,16.1829787234,0.02378775,25.1505,NA,2.05687022901,0.0
NA,11.2460106383,0.0265235,22.429,NA,0.152480916031,2.0
NA,8.52765957447,0.02543975,20.624,NA,0.15572519084,2.0
NA,4.42074468085,0.0089045,30.461,NA,0.912595419847,0.0
NA,12.3867021277,0.024113,26.302,NA,0.330534351145,0.0
NA,9.6585106383,0.0285875,18.993,NA,1.17232824427,2.0
NA,14.8699468085,0.02270175,28.6015,21.216,NA,0.0
NA,10.4179078014,0.023857,21.7775,17.433,NA,2.0
NA,5.73829787234,0.024567,28.234,NA,0.95572519084,0.0
NA,4.0,0.01533925,27.579,NA,1.80687022901,0.0
NA,12.2239361702,0.0241115,26.8235,15.47,NA,0.0
NA,10.389893617,0.02466175,26.587,20.084,NA,0.0
NA,13.9893617021,0.0280201666667,21.737,14.199,NA,2.0
NA,8.10319148936,0.0277235,23.142,NA,0.289312977099,2.0
0.107423580786,11.4071808511,0.027324,26.141,NA,0.902290076336,0.0
0.237554585153,12.0127659574,0.0218385,26.602,NA,0.557633587786,0.0
NA,9.48936170213,0.0316605,20.804,15.065,0.169847328244,2.0
NA,15.05,0.023137,20.5196666667,14.941,0.14179389313,2.0
0.228820960699,9.74787234043,0.022907,20.028,NA,0.363358778626,2.0
0.272489082969,15.4882978723,0.0258365,20.6945,NA,0.370992366412,2.0
NA,10.8625,0.022918,24.149,17.402,0.184732824427,2.0
NA,11.2779255319,0.02900875,22.213,15.991,1.16221374046,2.0
NA,16.1510638298,0.0300181666667,28.235,14.799,0.784732824427,0.0
NA,14.0875,0.02452725,26.202,18.825,1.89780534351,2.0
NA,15.795212766,0.0192035,26.458,21.146,1.18167938931,0.0
NA,13.2555851064,0.0193405,25.3705,23.538,0.934351145038,2.0
0.317903930131,21.4183510638,0.0218575,26.639,20.169,NA,0.0
NA,7.99228723404,0.0268295,27.486,26.0,0.620229007634,0.0
NA,12.3932624113,0.0250103333333,21.5226666667,18.4425,1.71450381679,2.0
NA,10.5191489362,0.035173,20.3775,15.32,0.387022900763,2.0
0.268122270742,13.6002659574,0.0234785,23.4765,NA,0.0416030534351,0.0
NA,12.4219858156,0.02106575,25.8723333333,18.054,0.13358778626,2.0
0.195633187773,11.5638297872,0.022583,25.15,NA,0.367938931298,0.0
0.467248908297,24.8431334623,0.0234555,29.7008571429,NA,0.804707379135,0.0
0.26404657933,13.533662614,0.0224372,24.65925,17.603,0.627989821883,2.0
0.291703056769,13.1808510638,0.025806,22.6413333333,16.303,0.374618320611,2.0
0.34672489083,22.8884308511,0.02085575,27.79,18.738,1.67624045802,0.0
0.32576419214,16.3468844985,0.01984325,28.69,22.401,0.86641221374,0.0
0.255895196507,14.3978723404,0.025578625,22.1726666667,19.185,0.22786259542,2.0
0.346433770015,17.7908156028,0.0267307916667,26.97,22.24,0.717652671756,0.0
0.30480349345,15.1474854932,0.0233365555556,26.3258888889,16.97,0.404198473282,0.0
0.35807860262,14.0201241135,0.025692125,21.293,13.271,0.256106870229,2.0
0.248908296943,7.71269946809,0.029711,22.6843333333,12.682,1.27665394402,2.0
0.426637554585,14.51643026,0.0234196428571,27.2928333333,21.2015,0.967366412214,0.0
0.235807860262,13.9589095745,0.024733,25.669,20.815,0.219465648855,2.0
0.33711790393,16.4589095745,0.0230471666667,26.5626666667,19.524,0.268702290076,0.0
0.293449781659,17.8535460993,0.0212205,26.536,18.444,2.44866412214,0.0
0.643668122271,16.9036569149,0.0274540714286,28.5036666667,19.345,0.413613231552,0.0
0.289956331878,18.9046099291,0.0251276666667,23.7,13.966,1.17175572519,0.0
0.226200873362,14.7102393617,0.0260196666667,25.3025,18.088,0.169083969466,2.0
0.324017467249,17.0146276596,0.019936,23.961,19.698,0.983969465649,0.0
0.673362445415,8.89583333333,0.013291,33.27825,19.133,0.534160305344,0.0
0.178165938865,15.0072695035,0.0256673333333,23.4905,17.969,0.809160305344,2.0
0.297816593886,16.5277925532,0.0244735,23.2005,19.756,0.231297709924,0.0
0.297816593886,11.5421542553,0.02212975,25.2178,17.757,2.03027989822,2.0
0.278602620087,14.2336879433,0.0269205,25.6465,14.678,0.169083969466,0.0
0.259388646288,12.1486702128,0.020742625,21.03425,18.983,1.36055979644,2.0
0.339301310044,11.2316489362,0.02340375,24.4786,22.355,0.814694656489,2.0
0.35807860262,13.6348784195,0.02912525,21.89225,15.361,0.651908396947,2.0
0.293449781659,14.0373670213,0.02054,25.8824,19.5585,0.756679389313,2.0
0.459825327511,17.7021276596,0.0238548333333,26.66525,18.525,0.134351145038,0.0
0.601746724891,19.9765957447,0.021277625,29.99025,6.93,0.692938931298,0.0
0.418777292576,17.3407640232,0.0308873928571,32.8532857143,19.648,2.21304071247,0.0
